County1,CountyPop,Confirmed,Cases per 100K,Deaths
""countyFips":"001"","18386",""confirmed":1061","5770.695094093332",""deaths":30"
""countyFips":"003"","8165",""confirmed":448","5486.83404776485",""deaths":3"
""countyFips":"005"","11164",""confirmed":604","5410.247223217485",""deaths":14"
""countyFips":"007"","3038",""confirmed":84","2764.9769585253457",""deaths":4"
""countyFips":"009"","44890",""confirmed":2145","4778.347070617064",""deaths":58"
""countyFips":"011"","19234",""confirmed":503","2615.160653010294",""deaths":8"
""countyFips":"013"","83240",""confirmed":2274","2731.859682844786",""deaths":48"
""countyFips":"015"","107738",""confirmed":3007","2791.030091518313",""deaths":88"
""countyFips":"017"","16700",""confirmed":807","4832.335329341317",""deaths":26"
""countyFips":"019"","19397",""confirmed":461","2376.656183945971",""deaths":12"
""countyFips":"021"","153159",""confirmed":6136","4006.29411265417",""deaths":177"
""countyFips":"023"","12873",""confirmed":447","3472.384059659753",""deaths":21"
""countyFips":"025"","19109",""confirmed":351","1836.8308127060545",""deaths":10"
""countyFips":"027"","15457",""confirmed":526","3402.988937051174",""deaths":26"
""countyFips":"029"","39627",""confirmed":1175","2965.1500239735533",""deaths":11"
""countyFips":"031"","79608",""confirmed":2922","3670.4853783539343",""deaths":28"
""countyFips":"033"","22383",""confirmed":843","3766.251172765045",""deaths":10"
""countyFips":"035"","24936",""confirmed":684","2743.0221366698747",""deaths":43"
""countyFips":"037"","6189",""confirmed":250","4039.424785910486",""deaths":9"
""countyFips":"039"","54666",""confirmed":1329","2431.127208868401",""deaths":13"
""countyFips":"043"","10803",""confirmed":475","4396.92677959826",""deaths":20"
""countyFips":"045"","119992",""confirmed":2874","2395.159677311821",""deaths":70"
""countyFips":"047"","67580",""confirmed":1237","1830.423202130808",""deaths":20"
""countyFips":"049"","13392",""confirmed":641","4786.439665471923",""deaths":9"
""countyFips":"051"","289430",""confirmed":8652","2989.3238434163704",""deaths":168"
""countyFips":"053"","10907",""confirmed":1683","15430.457504355001",""deaths":1"
""countyFips":"055"","24789",""confirmed":812","3275.6464560893946",""deaths":22"
""countyFips":"057"","258773",""confirmed":6239","2410.9934189424707",""deaths":93"
""countyFips":"059"","128331",""confirmed":5198","4050.4632551760683",""deaths":45"
""countyFips":"061"","2834",""confirmed":121","4269.583627381792",""deaths":3"
""countyFips":"063"","292256",""confirmed":7178","2456.0659148144096",""deaths":162"
""countyFips":"065"","6618",""confirmed":390","5893.0190389845875",""deaths":9"
""countyFips":"067"","760141",""confirmed":20010","2632.4063561891808",""deaths":429"
""countyFips":"069"","43273",""confirmed":2096","4843.666951678876",""deaths":52"
""countyFips":"071"","45600",""confirmed":1915","4199.561403508772",""deaths":35"
""countyFips":"073"","156714",""confirmed":3853","2458.6188853580406",""deaths":62"
""countyFips":"075"","17270",""confirmed":555","3213.6653155761437",""deaths":14"
""countyFips":"077"","148509",""confirmed":2669","1797.1974762472307",""deaths":50"
""countyFips":"079"","12404",""confirmed":170","1370.5256368913253",""deaths":5"
""countyFips":"081"","22372",""confirmed":585","2614.8757375290543",""deaths":18"
""countyFips":"083"","16116",""confirmed":290","1799.4539587987094",""deaths":5"
""countyFips":"085"","26108",""confirmed":848","3248.0465757622187",""deaths":8"
""countyFips":"087"","26404",""confirmed":1206","4567.489774276625",""deaths":29"
""countyFips":"089"","759297",""confirmed":19128","2519.1723396773596",""deaths":371"
""countyFips":"091"","20605",""confirmed":439","2130.5508371754427",""deaths":12"
""countyFips":"093"","13390",""confirmed":346","2584.0179238237492",""deaths":14"
""countyFips":"095"","87956",""confirmed":3170","3604.074764655055",""deaths":188"
""countyFips":"097"","146343",""confirmed":3671","2508.490327518228",""deaths":69"
""countyFips":"099"","10190",""confirmed":513","5034.347399411187",""deaths":33"
""countyFips":"101"","4006",""confirmed":242","6040.938592111833",""deaths":2"
""countyFips":"103"","64296",""confirmed":1506","2342.2918999626727",""deaths":26"
""countyFips":"105"","19194",""confirmed":709","3693.862665416276",""deaths":5"
""countyFips":"107"","22646",""confirmed":1102","4866.201536695222",""deaths":32"
""countyFips":"109"","10654",""confirmed":432","4054.815092922846",""deaths":6"
""countyFips":"111"","26188",""confirmed":709","2707.3468764319537",""deaths":25"
""countyFips":"113"","114421",""confirmed":1922","1679.7615822270388",""deaths":52"
""countyFips":"115"","98498",""confirmed":3313","3363.5200714735324",""deaths":47"
""countyFips":"117"","244252",""confirmed":4211","1724.0391071516303",""deaths":47"
""countyFips":"119"","23349",""confirmed":775","3319.1999657372908",""deaths":13"
""countyFips":"121"","1063937",""confirmed":28096","2640.7578644224236",""deaths":579"
""countyFips":"123"","31369",""confirmed":859","2738.3722783639896",""deaths":13"
""countyFips":"125"","2971",""confirmed":40","1346.3480309660047",""deaths":2"
""countyFips":"127"","85292",""confirmed":3520","4126.999015147962",""deaths":96"
""countyFips":"129"","57963",""confirmed":1912","3298.656039197419",""deaths":40"
""countyFips":"131"","24633",""confirmed":807","3276.0930459140177",""deaths":23"
""countyFips":"133"","18324",""confirmed":516","2815.9790438768828",""deaths":24"
""countyFips":"135"","936250",""confirmed":28074","2998.5580774365817",""deaths":414"
""countyFips":"137"","45328",""confirmed":1733","3823.2439110483583",""deaths":71"
""countyFips":"139"","204441",""confirmed":9618","4704.535782939821",""deaths":158"
""countyFips":"141"","8457",""confirmed":399","4717.985101099681",""deaths":43"
""countyFips":"143"","29792",""confirmed":518","1738.7218045112782",""deaths":9"
""countyFips":"145"","35236",""confirmed":805","2284.595300261097",""deaths":22"
""countyFips":"147"","26205",""confirmed":528","2014.8826559816828",""deaths":13"
""countyFips":"149"","11923",""confirmed":201","1685.817327853728",""deaths":6"
""countyFips":"151"","234561",""confirmed":5416","2308.9942488307943",""deaths":104"
""countyFips":"153"","157863",""confirmed":3195","2023.9068052678588",""deaths":84"
""countyFips":"155"","9416",""confirmed":323","3430.3313508920987",""deaths":5"
""countyFips":"157"","72977",""confirmed":2066","2831.028954328076",""deaths":34"
""countyFips":"159"","14219",""confirmed":225","1582.3897601800406",""deaths":4"
""countyFips":"161"","15115",""confirmed":730","4829.639431028779",""deaths":20"
""countyFips":"163"","15362",""confirmed":815","5305.298789220154",""deaths":30"
""countyFips":"165"","8676",""confirmed":438","5048.4094052558785",""deaths":30"
""countyFips":"167"","9643",""confirmed":420","4355.491029762522",""deaths":22"
""countyFips":"169"","28735",""confirmed":573","1994.0838698451366",""deaths":10"
""countyFips":"171"","19077",""confirmed":381","1997.1693662525554",""deaths":19"
""countyFips":"173"","10423",""confirmed":297","2849.4675237455626",""deaths":6"
""countyFips":"175"","47546",""confirmed":1719","3615.4460943086697",""deaths":75"
""countyFips":"177"","29992",""confirmed":710","2367.297946118965",""deaths":26"
""countyFips":"179"","61435",""confirmed":1143","1860.5029706193538",""deaths":23"
""countyFips":"181"","7921",""confirmed":214","2701.6790809241256",""deaths":7"
""countyFips":"183"","19559",""confirmed":256","1308.8603711846208",""deaths":3"
""countyFips":"185"","117406",""confirmed":3987","3395.9082159344493",""deaths":84"
""countyFips":"187"","33610",""confirmed":940","2796.78667063374",""deaths":14"
""countyFips":"189"","21312",""confirmed":615","2885.698198198198",""deaths":14"
""countyFips":"191"","14378",""confirmed":296","2058.700792878008",""deaths":7"
""countyFips":"193"","12947",""confirmed":236","1822.8160963929868",""deaths":10"
""countyFips":"195"","29880",""confirmed":714","2389.5582329317267",""deaths":8"
""countyFips":"197"","8359",""confirmed":193","2308.8886230410335",""deaths":9"
""countyFips":"199"","21167",""confirmed":558","2636.178957811688",""deaths":14"
""countyFips":"201"","5718",""confirmed":278","4861.839804127317",""deaths":1"
""countyFips":"205"","21863",""confirmed":824","3768.924667246032",""deaths":45"
""countyFips":"207"","27578",""confirmed":706","2560.0116034520265",""deaths":52"
""countyFips":"209"","9172",""confirmed":323","3521.587440034889",""deaths":5"
""countyFips":"211"","19276",""confirmed":489","2536.8333679186553",""deaths":3"
""countyFips":"213"","40096",""confirmed":853","2127.394253790902",""deaths":6"
""countyFips":"215"","195769",""confirmed":6100","3115.9172289790517",""deaths":171"
""countyFips":"217"","111744",""confirmed":2639","2361.648052691867",""deaths":91"
""countyFips":"219"","40280",""confirmed":771","1914.1012909632573",""deaths":26"
""countyFips":"221"","15259",""confirmed":346","2267.514253882954",""deaths":11"
""countyFips":"223"","168667",""confirmed":2860","1695.6488228284136",""deaths":58"
""countyFips":"225"","27546",""confirmed":684","2483.119146155522",""deaths":25"
""countyFips":"227"","32591",""confirmed":632","1939.1856647540733",""deaths":10"
""countyFips":"229"","19465",""confirmed":621","3190.341638838942",""deaths":22"
""countyFips":"231"","18962",""confirmed":348","1835.249446260943",""deaths":10"
""countyFips":"233"","42613",""confirmed":1516","3557.5997934902493",""deaths":18"
""countyFips":"235"","11137",""confirmed":318","2855.347041393553",""deaths":22"
""countyFips":"237"","22119",""confirmed":715","3232.5150323251505",""deaths":25"
""countyFips":"239"","2299",""confirmed":34","1478.903871248369",""deaths":1"
""countyFips":"241"","17137",""confirmed":378","2205.753632491101",""deaths":10"
""countyFips":"243"","6778",""confirmed":331","4883.446444378872",""deaths":29"
""countyFips":"245"","202518",""confirmed":7270","3589.8043630689613",""deaths":167"
""countyFips":"247"","90896",""confirmed":1896","2085.90036965323",""deaths":37"
""countyFips":"249"","5257",""confirmed":106","2016.359140194027",""deaths":2"
""countyFips":"251"","13966",""confirmed":425","3043.104682801088",""deaths":11"
""countyFips":"253"","8090",""confirmed":373","4610.630407911001",""deaths":9"
""countyFips":"255"","66703",""confirmed":1364","2044.8855373821268",""deaths":62"
""countyFips":"257"","25925",""confirmed":1123","4331.726133076181",""deaths":38"
""countyFips":"259"","6621",""confirmed":523","7899.108895937169",""deaths":15"
""countyFips":"261"","29524",""confirmed":941","3187.2375016935375",""deaths":63"
""countyFips":"263"","6195",""confirmed":166","2679.580306698951",""deaths":6"
""countyFips":"265"","1537",""confirmed":23","1496.4216005204944",""deaths":0"
""countyFips":"267"","25286",""confirmed":850","3361.5439373566405",""deaths":11"
""countyFips":"269"","8020",""confirmed":217","2705.7356608478804",""deaths":11"
""countyFips":"271"","15860",""confirmed":396","2496.847414880202",""deaths":20"
""countyFips":"273"","8531",""confirmed":331","3879.967178525378",""deaths":32"
""countyFips":"275"","44451",""confirmed":1510","3396.998942655958",""deaths":66"
""countyFips":"277"","40644",""confirmed":1823","4485.286881212479",""deaths":57"
""countyFips":"279"","26830",""confirmed":1360","5068.95266492732",""deaths":51"
""countyFips":"281"","12037",""confirmed":351","2916.0089723352994",""deaths":10"
""countyFips":"283"","6901",""confirmed":264","3825.5325315171713",""deaths":11"
""countyFips":"285"","69922",""confirmed":2850","4075.97036698035",""deaths":101"
""countyFips":"287"","7985",""confirmed":317","3969.943644333124",""deaths":24"
""countyFips":"289"","8120",""confirmed":199","2450.7389162561576",""deaths":9"
""countyFips":"291"","24511",""confirmed":803","3276.0801272897884",""deaths":21"
""countyFips":"293"","26320",""confirmed":807","3066.1094224924013",""deaths":63"
""countyFips":"295"","69761",""confirmed":1618","2319.347486417913",""deaths":38"
""countyFips":"297"","94593",""confirmed":1867","1973.7189855486135",""deaths":57"
""countyFips":"299"","35734",""confirmed":1522","4259.248894610176",""deaths":62"
""countyFips":"301"","5254",""confirmed":158","3007.232584697373",""deaths":5"
""countyFips":"303"","20374",""confirmed":689","3381.7610680278785",""deaths":8"
""countyFips":"305"","29927",""confirmed":1156","3862.732649446988",""deaths":31"
""countyFips":"307"","2607",""confirmed":43","1649.4054468738013",""deaths":2"
""countyFips":"309"","7855",""confirmed":347","4417.568427753024",""deaths":11"
""countyFips":"311"","30798",""confirmed":892","2896.291967010845",""deaths":19"
""countyFips":"313"","104628",""confirmed":4722","4513.132239935772",""deaths":61"
""countyFips":"315"","8635",""confirmed":249","2883.61320208454",""deaths":23"
""countyFips":"317"","9777",""confirmed":268","2741.1271351130204",""deaths":5"
""countyFips":"319"","8954",""confirmed":346","3864.1947732856825",""deaths":18"
""countyFips":"321"","20247",""confirmed":547","2701.634810095323",""deaths":30"