,Median Household Income (2019)
0,101744
1,55384
2,58515
3,50945
4,62984
5,57249
6,101463
7,48518
8,81869
9,52318
10,47365
11,49471
12,46633
13,53793
14,51586
15,58255
16,45086
17,57705
18,67986
19,53632
20,122933
21,51402
22,51386
23,56169
24,45227
25,66499
26,69665
27,85624
28,66681
29,89373
30,89175
31,55079
32,66793
33,69475
34,80063
35,63310
36,78777
37,110601
38,63567
39,70626
40,122930
41,75646
42,125933
43,84213
44,53908
45,52308
46,47560
47,82808
48,81002
49,59616
50,57879
51,47572
52,40680
53,48763
54,56500
55,84170
56,67804
57,47504
125,42781
126,36779
127,38775
128,38288
129,42727
130,55384
131,61413
132,57409
133,35020
134,39412
135,41390
136,46019
137,41874
138,36354
139,79658
140,43766
141,42785
142,48831
143,33393
144,56555
145,35841
146,52502
147,55807
148,40499
149,54165
150,46869
151,39513
152,82733
153,42112
154,30239
155,46059
156,37593
157,78603
158,39480
159,38633
160,82184
161,38827
162,70974
163,48004
164,36096
165,48779
166,68835
168,63477
167,38441
169,35636
170,37278
171,38806
172,60512
173,34984
174,38667
175,65793
176,39681
177,37574
178,37319
179,43439
180,95021
181,44906
182,105921
183,42904
184,70808
185,47757
186,42820
187,53906
188,49101
189,41002
190,54016
191,72008
192,51829
193,61631
194,31716
195,47662
196,74686
197,47171
198,46218
199,72970
200,60728
201,38156
202,68984
203,51241
204,37211
205,38274
206,31419
207,34849
208,55737
209,48323
210,41564
211,42114
212,66090
213,47685
214,46967
215,46428
216,41820
217,55583
220,32868
221,51338
222,39114
218,42768
219,42513
223,38886
224,42483
225,36788
226,59362
227,41834
228,57978
229,46810
230,46628
231,56598
232,99497
233,51105
234,73309
235,46525
236,65062
237,44389
238,66901
239,43679
240,40582
241,51205
242,33908
243,44213
244,28298
245,40168
246,59673
247,45378
248,39048
249,36869
250,43510
251,45850
252,33053
253,37562
254,37265
255,34090
256,41440
257,36310
258,34297
259,35290
260,41642
261,45680
262,37148
263,45853
264,35069
265,45234
266,33261
267,42054
268,45943
269,40965
270,43767
271,65416
272,38357
273,38352
274,39444
275,44607
276,38187
277,32691
278,51579
279,47074
280,35961
281,39361
282,41036
283,48708
284,55174
285,35249
286,54800
287,74507
288,55327
289,56099
290,56099
291,51963
292,52486
293,53251
294,52936
295,54092
296,45427
297,66597
298,47291
299,63347
300,52313
301,60572
303,55300
302,63274
304,56976
305,93540
306,51577
307,51280
308,60773
309,47484
310,55357
311,42071
312,51258
313,43330
314,47314
315,79348
316,53028
317,53553
318,41713
319,53632
320,58042
321,55247
322,41445
323,54552
324,47425
325,59117
326,56832
327,53884
328,79834
329,53884
330,93345
331,44553
333,54063
332,87336
334,43767
335,54915
336,59323
337,52959
341,50684
342,53409
343,60121
344,46096
345,57422
346,48764
347,43783
338,42887
339,86268
340,67087
348,74872
349,58384
350,88481
351,53138
352,48976
353,59901
354,61794
355,56478
356,49965
357,67460
358,47815
359,43053
360,38400
361,66319
362,53607
363,48152
364,52642
366,40761
367,62242
368,52018
369,55198
370,56509
365,58222
371,52651
372,47357
373,61508
374,49716
375,44638
376,53414
377,53532
378,66937
379,50471
380,49507
381,57197
382,86108
383,46187
384,53795
385,72247
386,44423
387,50646
388,49332
389,47634
390,49991
391,41807
392,47529
393,65953
394,50981
395,41129
396,44475
397,43274
398,51235
399,52681
400,44467
401,58371
402,46818
403,47864
404,43852
405,44774
406,50605
407,50949
408,57120
409,46962
410,37360
411,53840
412,50261
413,56206
414,56052
415,58033
416,50856
417,49626
418,41906
419,61614
420,65771
421,51606
422,43083
423,51559
424,45570
425,57934
426,60808
427,54058
428,56330
429,69246
430,44271
431,87087
432,63248
433,56005
434,64399
435,44571
436,59240
437,70807
438,44439
439,47153
440,50267
441,47982
443,51712
444,51066
442,58017
445,67220
446,71770
447,51514
448,42479
449,49287
450,53785
451,59567
452,46176
453,51757
454,47252
455,53864
456,46101
457,56451
458,47039
459,47405
460,69975
461,52567
462,46638
463,49341
464,48566
465,51686
466,47057
467,47365
468,44121
469,45879
470,53961
471,63790
472,56381
473,50671
474,53612
475,50553
476,45966
477,41899
478,47835
479,60136
480,58817
481,56946
482,55345
483,48520
484,59744
485,51350
486,48104
487,59800
488,45697
489,43894
490,47084
491,37392
492,44624
493,60908
494,47658
495,42439
496,44183
497,29362
498,77696
499,48614
500,48020
501,47528
502,56432
503,31182
504,47284
505,61022
506,43048
507,43659
508,41873
509,60904
510,41249
511,47623
512,32906
513,34358
514,40299
515,50162
516,28146
517,31118
518,43624
519,33541
520,51441
521,43151
522,35446
523,35701
524,55358
525,42571
526,33218
527,53134
528,32355
529,49060
530,51203
531,53965
532,46785
533,40780
534,36782
535,49457
536,56769
537,52278
538,29521
539,51709
540,37038
541,51161
542,53405
543,44290
544,45512
545,35317
546,55860
547,59443
548,39381
549,64644
550,32228
551,30742
552,45458
553,41425
554,36667
555,29124
556,31921
557,32321
558,35751
559,42190
560,48182
561,46742
562,48395
566,51897
567,30950
568,45661
569,52388
570,28925
571,41807
563,48950
564,30029
565,48080
572,57613
573,34002
574,53921
575,35906
576,35596
577,46629
578,35848
579,43722
580,55602
581,41428
582,44751
583,102136
584,48998
585,26278
586,54583
587,33108
588,37124
589,37776
590,41541
591,45146
592,37732
593,41196
594,34648
595,73500
596,66056
597,51769
598,85899
599,45429
600,51027
601,49767
602,51674
603,47067
604,53478
605,50246
606,33701
607,47132
608,36863
609,30144
610,66164
58,62877
59,59881
60,49436
61,54823
62,50257
63,62519
64,49244
65,50978
66,88538
67,67161
68,45163
69,41770
70,53901
71,58258
72,99224
73,46284
74,46706
75,50999
76,50774
77,50805
78,71695
79,57979
80,71961
81,54876
82,48453
83,50381
84,41750
85,60744
86,52277
87,50956
88,49019
89,47999
90,46751
91,54342
92,52872
93,66270
94,48418
95,61087
96,62139
97,53469
98,53820
99,46529
100,48788
101,47648
102,63318
103,90155
104,61314
105,68217
106,47243
107,62366
108,46149
109,62657
110,44883
111,48809
112,56991
113,50504
114,48998
115,52573
116,48799
117,55679
118,45761
119,50554
120,63119
121,53602
122,58398
123,57599
124,65238
611,45969
612,84946
613,46653
614,46912
615,61190
616,57210
617,50594
618,59942
619,45051
620,53008
621,61883
622,41180
623,41806
624,54292
625,54210
626,64832
627,66101
628,48460
629,47339
630,74225
631,50113
632,45670
633,44409
634,30116
635,47097
636,53626
637,56696
638,52588
639,52085
640,50330
641,38106
642,43714
643,64799
644,44154
645,45689
646,89513
647,43483
648,42291
649,58356
650,42873
651,44804
652,39484
653,96936
654,39536
655,48258
656,76523
657,52251
658,40987
659,52047
660,48099
661,38304
662,61987
663,49117
664,37911
665,42164
666,50587
667,59838
668,43726
672,49208
669,44230
670,44410
671,88384
673,39627
674,37177
675,40945
676,35156
677,44773
678,60431
679,37812
681,43948
680,76792
682,47087
683,37428
684,53111
685,55776
686,45261
687,39891
688,37648
689,92310
690,48222
691,49317
692,41038
693,56321
694,71959
695,46490
696,61433
697,83330
698,55008
699,49829
700,49121
701,51403
702,50610
703,49498
704,73864
705,42782
706,32597
707,49210
708,57240
709,42469
710,60909
711,60241
712,50131
713,72451
714,40880
715,68180
716,66849
717,43337
718,38785
719,48670
720,46764
721,60917
722,52079
723,39533
724,50423
725,42671
726,53360
727,54351
728,56775
729,48780
730,54088
731,47551
732,51343
733,48121
734,36176
735,41919
736,62635
737,43903
738,48743
739,67434
740,90937
741,42153
742,47625
743,53704
744,42503
745,57925
746,43192
747,42605
748,39726
752,40072
749,45767
750,42700
751,55151
753,51128
754,55834
755,47065
756,52577
757,43226
758,57332
759,48814
760,54019
761,78637
762,50377
763,43436
767,45445
768,38011
769,56484
770,49560
771,48830
772,35594
764,42719
765,48858
766,64633
773,59304
774,35881
775,80189
776,46720
777,47068
778,48529
779,50542
780,77598
781,53785
782,41418
783,41009
784,45357
785,46259
786,43367
787,42522
788,53034
789,49845
790,56590
791,56556
792,46067
793,51192
794,73718
795,50539
796,47008
797,46017
798,41912
799,37738
800,47572
801,69600
802,65273
803,39506
804,42233
805,45341
806,44821
807,67470
808,44917
809,102858
810,42205
811,49788
812,40641
813,38826
814,47028
815,53559
816,43827
817,47317
818,53059
819,57126
820,41961
821,57052
822,56848
823,63929
824,30490
825,43115
826,59064
827,46915
828,54774
829,43084
830,66059
831,48040
832,41413
833,41268
834,42701
835,45604
836,51393
837,76255
838,40486
839,44041
840,48554
841,53867
842,39725
843,44276
844,51152
845,51646
846,43681
847,59807
848,53621
849,54332
850,44919
851,48040
852,48018
853,47477
854,44735
855,33171
856,87817
857,71207
858,56781
859,66387
860,48384
861,61560
862,49301
863,33160
864,30076
865,42879
866,80392
960,99425
867,46538
868,57280
869,50580
870,51131
871,120950
872,60556
873,50564
874,61186
875,47681
876,71874
961,36903
877,41803
878,32144
879,45889
962,43390
880,51525
881,67335
882,41517
883,56872
884,41382
963,56997
964,78846
885,80734
886,84021
965,56800
966,40504
887,50858
888,72111
889,46300
967,36015
890,35047
891,57257
968,36908
892,50785
893,122035
969,105532
970,137551
894,93462
895,48315
896,73463
897,53522
971,37327
898,77684
972,58448
973,36571
899,50591
900,70938
901,89331
902,37550
903,67498
904,43533
905,43096
974,54763
906,91028
975,42640
907,68581
908,36471
909,45089
976,42568
910,72993
911,86541
913,86619
914,68724
912,51124
915,52814
916,34796
977,48726
917,140382
918,63714
919,41421
978,43200
920,60450
979,79141
980,77032
981,33892
921,61764
922,44832
923,54871
924,52538
925,56690
926,90858
982,50283
983,48519
927,43157
928,55418
984,34442
929,46368
930,63681
931,49073
932,42862
985,37049
933,44710
986,96057
987,47343
934,88475
935,48450
936,68133
937,106200
938,50834
988,39254
939,71035
940,49399
989,48747
941,68734
990,42715
942,53413
943,61375
944,38966
991,57274
945,40161
946,55283
947,40972
948,52741
949,86695
950,108421
992,47319
993,69753
951,54663
952,43031
953,42074
994,76520
954,65635
955,45510
995,47117
956,51414
996,52845
997,51456
957,38045
958,46345
959,86317
